date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,yhat
2019-11-26 19:00:00,2019,48,19,26,219,4502.985942040368,716.8448126914317,536.0455256627681,-0.3462911002396602,-0.0651619859685373,-0.3280488517620399,1.0,838.7901515746487
2019-11-26 20:00:00,2019,48,20,26,220,4502.985942040368,882.3800361266002,811.7242843781106,-0.3425740475073843,-0.0783271742512847,-0.3269457309530422,1.0,796.0119374852745
2019-11-26 21:00:00,2019,48,21,26,221,4502.985942040368,790.4225241498469,572.040107326468,-0.3374028336204969,-0.0916462092359189,-0.3194137061113018,1.0,350.12369433754816
2019-11-26 22:00:00,2019,48,22,26,222,4502.985942040368,0.0,324.5348858361538,-0.3229842799518363,-0.0664730928347927,-0.3110121873988836,1.0,184.8319327731093
2019-11-27 12:00:00,2019,48,12,27,312,5872.017984763999,957.983193277311,724.2194915106671,-0.210344909674561,0.1359191796776503,-0.2254932245638377,1.0,660.3973926019006
2019-11-27 13:00:00,2019,48,13,27,313,5872.017984763999,998.529411764706,644.200202423251,-0.1365226094926312,0.1145023698019747,-0.1696346376656333,1.0,360.73509777742873
2019-11-27 14:00:00,2019,48,14,27,314,5872.017984763999,527.5363229403911,335.1694488589583,-0.0758964320335615,0.1036057657581746,-0.1240037299815891,1.0,122.1632765255635
2019-11-27 15:00:00,2019,48,15,27,315,5872.017984763999,252.38121416791017,181.6542136757273,-0.0114367485086427,0.0805711292635254,-0.0746155906512566,1.0,113.47129506008012
2019-11-27 16:00:00,2019,48,16,27,316,5872.017984763999,157.91997172700854,203.6725142858809,0.0404548057307437,0.0589042674808402,-0.0469083266604452,1.0,155.3781512605042
2019-11-27 17:00:00,2019,48,17,27,317,5872.017984763999,351.63040917301504,311.02351052566235,0.0776565951615656,0.0588260516887345,-0.0291092776268812,1.0,286.1937485274484
2019-11-27 18:00:00,2019,48,18,27,318,5872.017984763999,601.0951857378466,468.61815726099934,0.1242210012493988,0.0603656625156026,-0.0048917472490545,1.0,695.1904500117805
2019-11-27 19:00:00,2019,48,19,27,319,5872.017984763999,1022.877954920286,782.6158951800952,0.2246190533101857,0.0496251210543463,0.071880903873134,1.0,736.196497290505
2019-11-27 20:00:00,2019,48,20,27,320,5872.017984763999,391.3347208042096,694.8367410080076,0.3269391908921599,0.0478211064498818,0.1479643009625875,1.0,843.5714285714286
2019-11-27 21:00:00,2019,48,21,27,321,5872.017984763999,473.4606926882903,447.483915928576,0.4251291892924125,0.0555658136147624,0.2244011403910966,1.0,364.873949579832
2019-11-27 22:00:00,2019,48,22,27,322,5872.017984763999,137.2689075630252,412.1951476875378,0.3418350529464196,0.0548394250850077,0.1623611029153009,1.0,131.06926882902695
