date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,revenue
2022-09-23 12:00:00,2022,38,12,23,512,0.0,0.0,-0.8262228020403788,0.336248440675623,0.3981349002906909,0.0
2022-09-23 13:00:00,2022,38,13,23,513,47.620000000000005,47.62000000000001,-0.8224199463915891,0.3475863790401114,0.4022201812456112,52.72
2022-09-23 14:00:00,2022,38,14,23,514,0.0,0.0,-0.8192189298997772,0.3433133158891334,0.4173717442161134,79.73
2022-09-23 15:00:00,2022,38,15,23,515,102.45,102.45,-0.8186635003490936,0.3476434637713939,0.443576980719958,187.93
2022-09-23 16:00:00,2022,38,16,23,516,105.93,105.93000000000002,-0.7425492452240902,0.3003410142521038,0.4288620947300653,84.85
2022-09-23 17:00:00,2022,38,17,23,517,18.7,18.699999999999974,-0.6712403670238407,0.2309924108448182,0.4314909549449126,386.84
2022-09-23 18:00:00,2022,38,18,23,518,40.92,40.920000000000016,-0.597219836182879,0.1371025772604682,0.4349422020746228,116.68
2022-09-23 19:00:00,2022,38,19,23,519,175.69,175.69000000000003,-0.5461622956239564,0.0331413328507048,0.4150836304852052,187.88
2022-09-23 20:00:00,2022,38,20,23,520,253.99,253.99000000000004,-0.495579103060253,-0.0776381772321862,0.4081179220395142,260.5
2022-09-23 21:00:00,2022,38,21,23,521,49.26,49.259999999999984,-0.4430100212809767,-0.1778419118693879,0.3946158321428005,104.57
2022-09-24 12:00:00,2022,38,12,24,612,50.99,50.98999999999999,-0.1249385593104451,0.3554777399251297,-0.2134655451799019,80.63
2022-09-24 13:00:00,2022,38,13,24,613,13.98,13.979999999999992,-0.1854868370930335,0.3937005621250943,-0.1696577900420666,298.89
2022-09-24 14:00:00,2022,38,14,24,614,117.67,117.67,-0.020038968592045,0.5105320823317078,-0.3329910886478241,56.37
2022-09-24 15:00:00,2022,38,15,24,615,71.45,71.45,-0.1143034359665482,0.5345404059465025,-0.2341845694394996,214.06
2022-09-24 16:00:00,2022,38,16,24,616,348.98,348.9799999999999,-0.183678519708526,0.4491136435733276,-0.1159033574762189,180.95
2022-09-24 17:00:00,2022,38,17,24,617,242.8,242.79999999999995,-0.0517032439976379,0.423586673339118,-0.1746566550493293,158.55
2022-09-24 18:00:00,2022,38,18,24,618,87.22,87.21999999999998,0.0689498732165696,0.380972472256126,-0.2178040994722173,175.14
2022-09-24 19:00:00,2022,38,19,24,619,276.56,276.56,0.2082236490260762,0.2759107200036739,-0.1704278130536704,95.92
2022-09-24 20:00:00,2022,38,20,24,620,96.24,96.24,0.2913197216765686,0.1396120526659482,-0.1016324502451708,192.65
2022-09-24 21:00:00,2022,38,21,24,621,98.88,98.87999999999998,0.4248511622280065,0.0239174402365243,-0.0378979591250239,93.53
2022-09-25 12:00:00,2022,38,12,25,712,0.0,0.0,-0.0432626341548468,0.5694664852757437,-0.3516460019318007,14.86
2022-09-25 13:00:00,2022,38,13,25,713,102.16,102.16,-0.0829088341163024,0.5477457966822886,-0.3089245260035011,15.61
2022-09-25 14:00:00,2022,38,14,25,714,208.6,208.6,-0.007129836690946,0.5738063654291278,-0.3179724731961015,55.14
2022-09-25 15:00:00,2022,38,15,25,715,367.4,367.4,-0.0341080206621629,0.5556508793718615,-0.2634584878814971,199.5
2022-09-25 16:00:00,2022,38,16,25,716,122.23,122.23,-0.0636115785917415,0.487346236374799,-0.1862743673070364,109.5
2022-09-25 17:00:00,2022,38,17,25,717,275.45,275.45,0.062504946760097,0.517938970823743,-0.2932702208499264,125.85
2022-09-25 18:00:00,2022,38,18,25,718,251.16,251.16,0.2293596494034989,0.539430491305728,-0.3872086547642284,247.29
2022-09-25 19:00:00,2022,38,19,25,719,250.58,250.58,0.3516072485013424,0.3659289802402563,-0.3941620710095306,194.89
2022-09-25 20:00:00,2022,38,20,25,720,149.34,149.34,0.5204725878691252,0.1993472583375798,-0.3778983996425529,72.68
2022-09-25 21:00:00,2022,38,21,25,721,85.33,85.33,0.6413014649592028,0.0446499447659582,-0.374626945100165,43.92
2022-09-26 12:00:00,2022,39,12,26,112,9.04,9.039999999999996,0.0662365396825061,0.4642976730402114,-0.3719711303337911,108.46
2022-09-26 13:00:00,2022,39,13,26,113,0.0,0.0,0.0486433637250917,0.510071705164219,-0.3710584252618888,57.67
2022-09-26 14:00:00,2022,39,14,26,114,40.48,40.48,-0.0345979430875619,0.5570920833548699,-0.348942258808784,76.64
2022-09-26 15:00:00,2022,39,15,26,115,78.63,78.63,-0.0521256557979309,0.6078012037103675,-0.3304929595070008,36.620000000000005
2022-09-26 16:00:00,2022,39,16,26,116,38.98,38.98,-0.055920883651579,0.5220580645307743,-0.2734976706279759,88.80000000000001
2022-09-26 17:00:00,2022,39,17,26,117,293.33000000000004,293.3300000000001,-0.0526097311903809,0.4599767071485121,-0.2076272154745067,112.33
2022-09-26 18:00:00,2022,39,18,26,118,110.8,110.8,-0.0619924471747969,0.3900200626692077,-0.1345047831885309,182.23
2022-09-26 19:00:00,2022,39,19,26,119,86.24000000000001,86.24000000000001,0.0509854520892236,0.3014393185891399,-0.201605692906183,124.45
2022-09-26 20:00:00,2022,39,20,26,120,146.15,146.15,0.2098220197440803,0.2168433668937544,-0.2517236499701005,71.77
2022-09-26 21:00:00,2022,39,21,26,121,114.14,114.14,0.3177058325133039,0.144521617785387,-0.3100088594202571,11.21
2022-09-27 12:00:00,2022,39,12,27,212,0.0,0.0,0.0442073697870715,0.5049674711827705,-0.4182979666973387,166.46
2022-09-27 13:00:00,2022,39,13,27,213,137.89,69.06425188215204,0.013759272492784,0.2925445212522783,-0.3211132008922413,192.27
2022-09-27 14:00:00,2022,39,14,27,214,62.01,31.058486122764894,-0.0649959927460083,0.0837925628755651,-0.2140709512307956,166.6
2022-09-27 15:00:00,2022,39,15,27,215,90.13,45.14253460155504,0.218061680894443,0.0105521829338634,-0.4032356073019416,67.11
