date,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,revenue
2022-07-19 13:00:00,13,19,213,5476.203172857929,446.212597188408,264.64112117682646,0.7709021925924222,0.3862359486209356,0.4115107622585139,192.72520223042488
2022-07-19 14:00:00,14,19,214,5476.203172857929,217.350192413414,159.18145486258084,0.7881441914346452,0.3736932752312645,0.4201490519423251,118.4693316578968
2022-07-19 15:00:00,15,19,215,5476.203172857929,95.16217702034083,155.1485432855925,0.8069725028119049,0.3664274231296181,0.4314801043856449,127.3977067462499
2022-07-19 16:00:00,16,19,216,5476.203172857929,69.89868844734156,198.34723396482383,0.7990245782493858,0.3423046380061881,0.4188045396031573,248.9688211733292
2022-07-19 17:00:00,17,19,217,5476.203172857929,685.7830047907013,361.39386024236944,0.7895643432946972,0.3169874465559473,0.4063057420791857,325.0938506243619
2022-07-19 18:00:00,18,19,218,5476.203172857929,391.03078614623416,430.9957972613629,0.7774846506502742,0.2877336634436554,0.3901686091010631,353.9872771538522
2022-07-19 19:00:00,19,19,219,5476.203172857929,604.3956648079793,611.135650046655,0.712164552909149,0.253069570092195,0.360461122978562,1003.68766198068
2022-07-19 20:00:00,20,19,220,5476.203172857929,969.9112542213148,719.0347017919936,0.6585967055557044,0.2075233930759444,0.3348108424263527,745.0051048456766
2022-07-19 21:00:00,21,19,221,5476.203172857929,1301.7996544412158,542.4388775554429,0.5932766078145788,0.172859299724484,0.3045970603050397,750.797141286421
2022-07-20 12:00:00,12,20,312,3499.3517631351606,103.82784889656796,167.17984848934108,0.6448183369469788,0.5321219318598697,0.3434462580736371,404.4455352234352
2022-07-20 13:00:00,13,20,313,3499.3517631351606,90.80499489515432,223.0424780002577,0.6293533842572647,0.5697855007286992,0.3437588050177368,300.33770517552813
2022-07-20 14:00:00,14,20,314,3499.3517631351606,134.70666771381448,233.87577796716923,0.6146247880708007,0.5972753567671417,0.3435645566932687,240.7480562318385
2022-07-20 15:00:00,15,20,315,3499.3517631351606,248.7477420874892,181.2044086849964,0.5942086214734392,0.6390677949553608,0.340549725730298,212.43776015078927
2022-07-20 16:00:00,16,20,316,3499.3517631351606,516.6571114427079,249.44415716936845,0.647983201712988,0.4419455387116143,0.325593684501567,327.69559412550063
2022-07-20 17:00:00,17,20,317,3499.3517631351606,230.4629702348229,352.026016567785,0.6912960113845833,0.2482487698695178,0.3083098076485739,429.9866488651536
2022-07-20 18:00:00,18,20,318,3499.3517631351606,537.6085761407367,503.8043722570801,0.7390819689425826,0.0586712179487878,0.2899318588205293,403.85769260975417
2022-07-20 19:00:00,19,20,319,3499.3517631351606,378.3458729286107,585.4052566320661,0.4057951480813638,0.1383082586584796,0.1249382023412981,695.300793214482
2022-07-20 20:00:00,20,20,320,3499.3517631351606,803.9240556035498,860.0615409500896,0.0578887676522469,0.2229560129060202,-0.0536263720853922,1031.5173172072566
2022-07-20 21:00:00,21,20,321,3499.3517631351606,392.6863268671955,579.6466920499316,-0.2934965460689485,0.2811984518424457,-0.2363220461947424,585.0616508285557
2022-07-20 22:00:00,22,20,322,3499.3517631351606,61.57959632451111,190.6541566973836,-0.3703626294645429,0.2685380148272006,-0.2776713893853067,237.27244168695515
2022-07-21 12:00:00,12,21,412,5066.473965287049,444.4490693473651,213.3249532232641,-0.2991483174263009,0.1621037119839724,-0.3721597969144054,355.4170266237336
2022-07-21 13:00:00,13,21,413,5066.473965287049,226.1132490379329,264.09808610148025,-0.1929141260381628,0.19783119111279,-0.2848196335321997,242.92311317050184
2022-07-21 14:00:00,14,21,414,5066.473965287049,145.69661509463597,194.75109339969788,-0.071838544509684,0.2371989592937098,-0.1881482266803706,92.37610932223356
2022-07-21 15:00:00,15,21,415,5066.473965287049,137.64470274090945,142.5163053888236,0.0325734678663837,0.273621262594823,-0.1039191373605736,17.855572135396216
2022-07-21 16:00:00,16,21,416,5066.473965287049,376.6999136103039,234.9235080154632,-0.0868679861141645,0.306847965113466,-0.1791913081910247,178.45794392523362
2022-07-21 17:00:00,17,21,417,5066.473965287049,598.1748213304013,376.798348363602,-0.2121257451549669,0.3325929286898176,-0.2608728125290017,256.6692845362444
2022-07-21 18:00:00,18,21,418,5066.473965287049,666.9143171287207,532.829979361627,-0.3408052031424557,0.3655920521131767,-0.3439495317061007,215.7064321055525
2022-07-21 19:00:00,19,21,419,5066.473965287049,834.0783790151575,696.0123527000972,-0.3966563194760872,0.3657734980320414,-0.3572576259348634,675.0435875284693
2022-07-21 20:00:00,20,21,420,5066.473965287049,879.7694965836802,795.4273345864789,-0.4656868885107197,0.3683699200251005,-0.3781711511032299,729.5303541977538
2022-07-21 21:00:00,21,21,421,5066.473965287049,671.4250373046415,604.153546573459,-0.52745622217694,0.382850053829658,-0.3953283879186421,593.1975967957276
2022-07-21 22:00:00,22,21,422,5066.473965287049,85.50836409330087,181.11283379575804,-0.4217183199993917,0.1248682694601432,-0.3640910503615392,57.24141993245896
2022-07-22 12:00:00,12,22,512,6552.360637713029,288.33582030943217,161.50176692039943,0.7159037186418866,-0.121407153676154,0.2666567140052158,256.76666928453625
2022-07-22 13:00:00,13,22,513,6552.360637713029,380.827377680044,270.2100953556918,0.6289974650285782,0.1455845125747245,0.2671377849824021,381.4862954527605
2022-07-22 14:00:00,14,22,514,6552.360637713029,248.99748684520537,218.32814578948725,0.5447509966388527,0.4087431115933984,0.267120212156676,218.1461556585251
2022-07-22 15:00:00,15,22,515,6552.360637713029,255.1500039268044,216.2530674017131,0.457844743025544,0.6757347778442773,0.2679469484287305,240.57017199403128
2022-07-22 16:00:00,16,22,516,6552.360637713029,449.0591376737611,322.0125978855932,0.4079266904147844,0.4173901694790256,0.1695788027928137,252.22257127149925
2022-07-22 17:00:00,17,22,517,6552.360637713029,604.4718448126914,398.2909825078942,0.3504379662066428,0.1592378387711132,0.0648468007993458,285.3628367234744
2022-07-22 18:00:00,18,22,518,6552.360637713029,830.1790622791173,648.5598898400839,0.3005199135958831,-0.0991067695941381,-0.0338316997215554,834.753396685777
2022-07-22 19:00:00,19,22,519,6552.360637713029,823.9338726144663,810.0819409089778,0.3690339595898481,-0.0975079418319128,0.0395308463732663,879.9787952564203
