date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,revenue
2021-05-29 22:00:00,2021,21,22,29,622,2103.0228540014136,13.084112149532707,533.3778842378073,0.4291161693722078,-0.3210043375458643,0.1960244514726166,0.6475760493345131,1051.2645095421344
2021-05-29 23:00:00,2021,21,23,29,623,2103.0228540014136,0.0,269.9946752532789,0.4758019011112767,-0.3097015249836911,0.2578319927503795,0.6475760493345131,159.4011623340925
2021-05-30 12:00:00,2021,21,12,30,712,2006.213539621456,98.04130998193668,92.6999921463913,0.5745888274017267,-0.1529303574608747,0.2188732648223165,0.6475760493345131,156.56561690096598
2021-05-30 13:00:00,2021,21,13,30,713,2006.213539621456,142.58878504672896,316.2317599937172,0.5297829401271953,-0.1466171795726749,0.1868510324444275,0.6475760493345131,218.39707845755123
2021-05-30 14:00:00,2021,21,14,30,714,2006.213539621456,124.87489201287993,404.7943925233646,0.4930216701321762,-0.131986103664625,0.1610377966869701,0.6475760493345131,411.8657818267494
2021-05-30 15:00:00,2021,21,15,30,715,2006.213539621456,225.57763292232772,371.0091416005655,0.4490752220639784,-0.1182735367600705,0.1318170078501993,0.6475760493345131,611.0767297573235
2021-05-30 16:00:00,2021,21,16,30,716,2006.213539621456,155.0467289719626,352.81551873085687,0.4547088390048405,-0.1275251507547987,0.1407456502583786,0.6475760493345131,824.0807350977774
2021-05-30 17:00:00,2021,21,17,30,717,2006.213539621456,520.0355768475614,456.9380978559648,0.4631305434277106,-0.1290122698593946,0.1532007201332025,0.6475760493345131,683.8027173486216
2021-05-30 18:00:00,2021,21,18,30,718,2006.213539621456,464.37414592005024,661.1100447655699,0.4654970510483439,-0.1419710325510343,0.1623421539148669,0.6475760493345131,1127.60700541899
2021-05-30 19:00:00,2021,21,19,30,719,2006.213539621456,192.16822429906543,696.0320898452838,0.4672311695904283,-0.1596537213934823,0.1775578033732533,0.6475760493345131,962.7652556349642
2021-05-30 20:00:00,2021,21,20,30,720,2006.213539621456,83.5062436189429,448.7675331814969,0.4625995558850776,-0.1875147865476773,0.1898098095684718,0.6475760493345131,831.3861619414121
2021-05-30 21:00:00,2021,21,21,30,721,2006.213539621456,0.0,383.3453860048692,0.4705701485991949,-0.2108074012482509,0.2114241655201028,0.6475760493345131,491.563496426608
2021-05-30 22:00:00,2021,21,22,30,722,2006.213539621456,0.0,186.19806801225164,0.4733818126950222,-0.2086546866237134,0.2389257898036906,0.6475760493345131,223.5839943454017
2021-05-31 12:00:00,2021,22,12,31,112,989.8363307939998,66.91588785046729,62.52774941752402,0.6272560197919701,0.0425440029841383,0.2972883618869875,0.8684933205916041,165.93850624361897
2021-05-31 13:00:00,2021,22,13,31,113,989.8363307939998,129.95327102803736,177.15561925704864,0.6041877790661843,0.0515673197041071,0.2748576738149981,0.8684933205916041,82.34155344380743
2021-05-31 14:00:00,2021,22,14,31,114,989.8363307939998,45.140186915887845,114.88480064923166,0.5873612320677728,0.0490051708415458,0.2595845179277819,0.8684933205916041,61.27189193434383
