date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact
2017-01-01 14:00:00,2016,52,14,1,714,,,,0.5280810524386483,-0.19175984198961402,0.4435021178515532,1.0
2017-01-01 15:00:00,2016,52,15,1,715,,,,0.5027983039411976,-0.18472809633446732,0.42846049470136527,1.0
2017-01-01 16:00:00,2016,52,16,1,716,,,,0.2171240222151174,-0.2199141879765045,0.22716733264374592,1.0
2017-01-01 17:00:00,2016,52,17,1,717,,,,-0.06471954369971115,-0.25672715945644037,0.029202256656906626,1.0
2017-01-01 18:00:00,2016,52,18,1,718,,,,-0.3500927731551395,-0.2851553732717171,-0.17209731290824865,1.0
2017-01-01 19:00:00,2016,52,19,1,719,,,,-0.3591484317641509,-0.27611687070254115,-0.18278042391876,1.0
2017-01-01 20:00:00,2016,52,20,1,720,,,,-0.37202958662907226,-0.27142702801987106,-0.19550249658410296,1.0
2017-01-01 21:00:00,2016,52,21,1,721,,,,-0.3810852452380835,-0.26238852545069524,-0.20606043602910068,1.0
2017-01-01 22:00:00,2016,52,22,1,722,,,,-0.428644271654488,-0.19738295333751554,-0.2198188422481743,1.0
2017-01-02 12:00:00,2017,1,12,2,112,,,,-0.22163441846403775,-0.047317684957711575,-0.011253243203422412,1.0
2017-01-02 13:00:00,2017,1,13,2,113,,,,-0.1468858611314353,-0.048858929287142645,0.04381342732655026,1.0
2017-01-02 14:00:00,2017,1,14,2,114,,,,-0.08122454940758866,-0.049326696908392934,0.0934350173396991,1.0
2017-01-02 15:00:00,2017,1,15,2,115,,,,-0.010602540601548164,-0.06197447895109016,0.14631182403612644,1.0
2017-01-02 16:00:00,2017,1,16,2,116,,,,-0.028224021214398726,-0.08802608474963415,0.14962985636771903,1.0
2017-01-02 17:00:00,2017,1,17,2,117,,,,-0.03293689876293593,-0.12245426065030851,0.15895730846885994,1.0
2017-01-02 18:00:00,2017,1,18,2,118,,,,-0.04337320130260782,-0.14758735744535728,0.1654597744014227,1.0
2017-01-02 19:00:00,2017,1,19,2,119,,,,-0.01472988494819462,-0.14377373218431516,0.18071270041098011,1.0
2017-01-02 20:00:00,2017,1,20,2,120,,,,0.0048408885273509665,-0.15291331504155362,0.190474918480476,1.0
2017-01-02 21:00:00,2017,1,21,2,121,,,,0.026870621143845967,-0.16121284455714952,0.19984383836689004,1.0
2017-01-02 22:00:00,2017,1,22,2,122,,,,-0.003696991390194439,-0.16532329641145982,0.17961868217226687,1.0
2017-01-03 12:00:00,2017,1,12,3,212,,,,-0.29652279557117295,-0.05145625364232488,-0.07166432302598597,1.0
2017-01-03 13:00:00,2017,1,13,3,213,,,,-0.3756684660366337,-0.06250644679117917,-0.13265939280412323,1.0
2017-01-03 14:00:00,2017,1,14,3,214,,,,-0.4561886614612925,-0.07120462924656411,-0.19014619120442314,1.0
2017-01-03 15:00:00,2017,1,15,3,215,,,,-0.5401877537820188,-0.09123879238035454,-0.25331094508075075,1.0
2017-01-03 16:00:00,2017,1,16,3,216,,,,-0.5463944828109781,-0.09613010250796886,-0.2499668898231672,1.0
2017-01-03 17:00:00,2017,1,17,3,217,,,,-0.5531553351564141,-0.10373852920282985,-0.2501226423404778,1.0
2017-01-03 18:00:00,2017,1,18,3,218,,,,-0.5624512039380334,-0.12315221204733678,-0.2501547006058041,1.0
2017-01-03 19:00:00,2017,1,19,3,219,,,,-0.574820474892601,-0.1001757252096603,-0.2591076797288402,1.0
2017-01-03 20:00:00,2017,1,20,3,220,,,,-0.5851723926987384,-0.08677840236345376,-0.2646496400838129,1.0
2017-01-03 21:00:00,2017,1,21,3,221,,,,-0.5971158425952543,-0.07268236108086762,-0.2732547506571309,1.0
2017-01-03 22:00:00,2017,1,22,3,222,,,,-0.5973276301710934,-0.08031119306236169,-0.2774072948305936,1.0
2017-01-04 12:00:00,2017,1,12,4,312,,,,-0.5770653854698485,0.08595132421481934,-0.2519142262366249,1.0
2017-01-04 13:00:00,2017,1,13,4,313,,,,-0.48130701073418114,0.08505204639795155,-0.18206051376190574,1.0
2017-01-04 14:00:00,2017,1,14,4,314,,,,-0.3978350874174416,0.07231551112776119,-0.12117861654959698,1.0
2017-01-04 15:00:00,2017,1,15,4,315,,,,-0.3074790382981752,0.05373960703430576,-0.05699116607429921,1.0
2017-01-04 16:00:00,2017,1,16,4,316,,,,-0.2236114350613774,0.04750643785774314,0.008840219987040683,1.0
2017-01-04 17:00:00,2017,1,17,4,317,,,,-0.13815229973420076,0.04057455024480093,0.07839717555645427,1.0
2017-01-04 18:00:00,2017,1,18,4,318,,,,-0.05269316440702413,0.03364266263185875,0.14751760692458132,1.0
2017-01-04 19:00:00,2017,1,19,4,319,,,,0.02708582853143528,0.026079424219847103,0.2019899080108472,1.0
2017-01-04 20:00:00,2017,1,20,4,320,,,,0.108061376861524,0.026979399134347447,0.25719316171101636,1.0
2017-01-04 21:00:00,2017,1,21,4,321,,,,0.18784036979998336,0.01941616072233579,0.3120749336425353,1.0
2017-01-04 22:00:00,2017,1,22,4,322,,,,0.19142859707534565,0.01647094484114721,0.3172164398813293,1.0
2017-01-05 12:00:00,2017,1,12,5,412,,,,0.2943180919282661,-0.5152003924839218,0.2681285613845592,1.0
2017-01-05 13:00:00,2017,1,13,5,413,,,,0.2918137764521335,-0.5333161445717719,0.26001630558000266,1.0
2017-01-05 14:00:00,2017,1,14,5,414,,,,0.2835605359997581,-0.5621212021443097,0.24965770465252057,1.0
