date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact,revenue
2022-08-31 12:00:00,2022,35,12,31,312,5724.04,206.86,203.92965743655776,0.2186988842775324,0.0109765258873652,-0.0489411336805657,1.0,518.56
2022-08-31 13:00:00,2022,35,13,31,313,5724.04,342.23,319.3997386947397,0.2388685055724351,0.0188583846415828,-0.0298609195214301,1.0,226.85
2022-08-31 14:00:00,2022,35,14,31,314,5724.04,159.64,213.28659241812275,0.2523226308570849,0.0364075154471465,-0.0132336497791078,1.0,244.51
2022-08-31 15:00:00,2022,35,15,31,315,5724.04,421.2,276.1634874709068,0.2724922521519876,0.044289374201364,0.00548539988628,1.0,137.46
2022-08-31 16:00:00,2022,35,16,31,316,5724.04,261.7,228.1861349961557,0.3574661166466564,0.0265228685608424,0.0691016402662967,1.0,293.95
2022-08-31 17:00:00,2022,35,17,31,317,5724.04,664.6,394.93996516971833,0.4455778323861511,-0.0033247905526406,0.135953168230136,1.0,426.81
2022-08-31 18:00:00,2022,35,18,31,318,5724.04,1218.5,659.3718028619354,0.5418154422557336,-0.0198648885626748,0.2088596482999672,1.0,997.35
2022-08-31 19:00:00,2022,35,19,31,319,5724.04,1176.48,867.745736278586,0.5017049070124417,-0.0331921645853455,0.1878416444162099,1.0,1528.65
2022-08-31 20:00:00,2022,35,20,31,320,5724.04,806.59,908.3695034811132,0.4702691696603727,-0.0245192232129162,0.1765862728867754,1.0,728.63
2022-08-31 21:00:00,2022,35,21,31,321,5724.04,347.49,632.6498635215906,0.4388386518636454,-0.0218218215648913,0.1654785331050352,1.0,254.42
2022-08-31 22:00:00,2022,35,22,31,322,5724.04,118.75,187.8976217087796,0.4598579524412563,-0.0292310001543851,0.2023938312183446,1.0,23.07
2022-09-01 12:00:00,2022,35,12,1,412,5121.79,493.6,137.29136019387013,0.5376191957213067,0.090500764649067,0.2173013926445933,1.0,568.59
2022-09-01 13:00:00,2022,35,13,1,413,5121.79,335.52,208.7598779563053,0.5815297232741121,0.0890742334071212,0.2474848769652409,1.0,121.77
2022-09-01 14:00:00,2022,35,14,1,414,5121.79,190.6,168.5257803640448,0.6318890723968461,0.0987399239990576,0.2821020395922597,1.0,194.33
2022-09-01 15:00:00,2022,35,15,1,415,5121.79,111.18,166.6735411738621,0.6761006522203036,0.1040712705838722,0.3119818150996357,1.0,132.84
2022-09-01 16:00:00,2022,35,16,1,416,5121.79,279.66,217.867052817852,0.6675850009468083,0.0939501015189105,0.3117264028016333,1.0,395.89
2022-09-01 17:00:00,2022,35,17,1,417,5121.79,491.84,275.1476856543781,0.6609714172088903,0.0818369467422725,0.3131034025148672,1.0,370.82
2022-09-01 18:00:00,2022,35,18,1,418,5121.79,710.46,429.8936745716693,0.6565875340172986,0.0768467756661725,0.3155109160075779,1.0,1259.46
2022-09-01 19:00:00,2022,35,19,1,419,5121.79,1243.26,519.9229844129671,0.6357093740296424,0.043923146339885,0.3046846775024176,1.0,984.64
2022-09-01 20:00:00,2022,35,20,1,420,5121.79,754.2,691.377734529399,0.623036329870283,0.0224139533538558,0.3031176437315718,1.0,407.38
2022-09-01 21:00:00,2022,35,21,1,421,5121.79,483.42,387.0316911503211,0.6021581698826268,-0.0105096759724317,0.2920384266294126,1.0,249.16
2022-09-01 22:00:00,2022,35,22,1,422,5121.79,28.05,85.38119350009893,0.5769494235280439,0.0006044846439289,0.2999285463032391,1.0,24.96
2022-09-02 12:00:00,2022,35,12,2,512,5556.2,77.56,158.42351511264638,0.610041313928396,0.1661236835340233,0.2790985512939948,1.0,202.62
2022-09-02 13:00:00,2022,35,13,2,513,5556.2,184.85,162.8023489967926,0.5188300892220009,0.1752245932334715,0.2108516591705982,1.0,395.57
2022-09-02 14:00:00,2022,35,14,2,514,5556.2,359.73,195.48531766014264,0.4360997419638528,0.1718118759488705,0.1499184690479239,1.0,329.12
2022-09-02 15:00:00,2022,35,15,2,515,5556.2,185.93,156.85147234601803,0.3513520415572746,0.1779783226557395,0.0852013444636137,1.0,184.7
2022-09-02 16:00:00,2022,35,16,2,516,5556.2,253.85,260.168816901124,0.3323222313533825,0.1640582995320886,0.0736359139395369,1.0,786.46
2022-09-02 17:00:00,2022,35,17,2,517,5556.2,858.49,407.773996839908,0.3136390205093325,0.1431509556165378,0.0582121796290346,1.0,554.81
2022-09-02 18:00:00,2022,35,18,2,518,5556.2,704.47,663.9296005273286,0.2946092103054405,0.1292309324928868,0.0461259006664584,1.0,1119.01
2022-09-02 19:00:00,2022,35,19,2,519,5556.2,963.56,785.7643055639918,0.3519534982868074,0.1004941052400325,0.0955677713974755,1.0,1562.36
2022-09-02 20:00:00,2022,35,20,2,520,5556.2,810.92,940.2445833257506,0.4008316115498154,0.0702442201447661,0.1378231066611736,1.0,1306.9
2022-09-02 21:00:00,2022,35,21,2,521,5556.2,678.2,833.4575728588422,0.4604150832520556,0.040579231490393,0.1868794085869236,1.0,576.33
2022-09-02 22:00:00,2022,35,22,2,522,5556.2,379.9,620.4517922501807,0.3901839083831237,0.0332952459289345,0.1538118686167953,1.0,230.46
2022-09-02 23:00:00,2022,35,23,2,523,5556.2,98.74,260.0067509836359,0.3212379937785772,0.0245302038287405,0.122778740448791,1.0,0.0
2022-09-03 12:00:00,2022,35,12,3,612,6999.05,248.43,148.3507098695927,-0.0809763073826724,0.1396666139209799,-0.2279797680266766,1.0,251.6
2022-09-03 13:00:00,2022,35,13,3,613,6999.05,536.23,305.2028467602432,-0.0285094543770011,0.153157708165912,-0.1885184330432587,1.0,544.24
2022-09-03 14:00:00,2022,35,14,3,614,6999.05,565.96,247.0416492807019,0.0237699458865553,0.1855151715328822,-0.1444300288828528,1.0,638.59
2022-09-03 15:00:00,2022,35,15,3,615,6999.05,468.89,475.41831487429295,0.0706511407536641,0.191528421099607,-0.1111615941774931,1.0,747.68
2022-09-03 16:00:00,2022,35,16,3,616,6999.05,759.12,364.5540655734939,-0.0453302444205412,0.1261652375302504,-0.1970453892666208,1.0,434.54
2022-09-03 17:00:00,2022,35,17,3,617,6999.05,513.78,486.0729550528729,-0.1691189593133113,0.0800973725128513,-0.2831902620396324,1.0,770.81
2022-09-03 18:00:00,2022,35,18,3,618,6999.05,1087.96,683.216496928796,-0.2767360820414924,0.0380276736138916,-0.3590672123738206,1.0,1347.62
2022-09-03 19:00:00,2022,35,19,3,619,6999.05,931.34,797.3231118617921,-0.2353082786069228,-0.0121846339742394,-0.3276220316562682,1.0,979.14
2022-09-03 20:00:00,2022,35,20,3,620,6999.05,1087.27,961.7237049482133,-0.1920004135699926,-0.0491556681568465,-0.2994742413680532,1.0,759.12
2022-09-03 21:00:00,2022,35,21,3,621,6999.05,565.04,756.7343837078818,-0.1480855749240667,-0.0983613586816055,-0.2649242509526785,1.0,303.94
2022-09-03 22:00:00,2022,35,22,3,622,6999.05,92.04,617.8667462089388,-0.1818755683141674,-0.0927565516278091,-0.26849101411074,1.0,215.43
2022-09-03 23:00:00,2022,35,23,3,623,6999.05,142.99,173.44269358901084,-0.2093457270336735,-0.0830030419148737,-0.2604863241426728,1.0,0.0
2022-09-04 12:00:00,2022,35,12,4,712,6093.8,354.65,164.51849974531856,0.195684449304071,0.306807054528528,-0.0040752562860791,1.0,375.16
2022-09-04 13:00:00,2022,35,13,4,713,6093.8,651.87,352.99257059082555,0.1760080866859135,0.3038991965635576,-0.0226477832874441,1.0,584.88
2022-09-04 14:00:00,2022,35,14,4,714,6093.8,459.35,395.14517568108727,0.1682862788567292,0.3057892320173481,-0.0287539199922539,1.0,350.66
2022-09-04 15:00:00,2022,35,15,4,715,6093.8,545.58,431.7482940499883,0.1476612123374255,0.2963529391907566,-0.0441864364568272,1.0,638.35
